stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
regecomc_in,30332,Regents Drive at XFINITY Center (Inbound),,38.99364,-76.93984
regefarm_in,30313,Regents Dr and Farm Dr (Inbound),,38.99148,-76.94071
metzgree,30299,Metzerott Rd and Greenmead Dr,,39.00091,-76.94447
gree_out,37185,Greenmead Dr at Maryland 4-H (Outbound),,39.00205,-76.9435
greemead_in,27676,Greenmead Dr at Maryland 4-H (Inbound),,39.00268,-76.94333
lot4_in,27522,Paint Branch Dr at Lot 4b (Inbound),,38.99783,-76.94049
campmath_m,36112,Campus Dr at Math Slip,,38.98786,-76.93861
baltmacd,27301,Baltimore Avenue and Berwyn House Road,,38.99239,-76.93319
baltqueb_out,27270,Baltimore Ave and Quebec St(Outbound),,38.99461,-76.93222
balttecu,55001,Baltimore Avenue and Tecumseh Street,,38.99743,-76.93157
rhoduniv,55000,Rhode Island Avenue and University Boulevard (Outbound),,39.00098,-76.92481
rhodcher,27372,Rhode Island Avenue and Cherokee Street (Outbound),,39.00239,-76.92444
rhodfox,27934,Rhode Island Avenue and Fox Street (Outbound),,39.00597,-76.9235
rhodholl,30366,Rhode Island Avenue and Hollywood Road (Outbound),,39.0109,-76.92217
rhodshop,30350,Rhode Island Avenue at Hollywood Shopping Center,,39.01384,-76.92138
edgerhod,27703,Edgewood Road and Rhode Island Avenue (Outbound),,39.0161,-76.92142
edge49th,31691,Edgewood Road and 49th Avenue (Outbound),,39.01606,-76.92436
mazz,37065,Mazza GrandMarc,,39.01112,-76.93004
baltberw_s,30352,Baltimore Ave and Berwyn Rd (Inbound),,38.99641,-76.93183
baltqueb_in,27006,Baltimore Ave and Quebec St (Inbound),,38.99462,-76.93236
varsfron,29789,Baltimore Ave at The Varsity,,38.99083,-76.93401
painstad_r,30500,Glenn L. Martin Wind Tunnel,,38.98995,-76.93725
varsity,29789,Baltimore Ave at The Varsity,,38.99083,-76.93401
dent,36424,Denton Hall,,38.99191,-76.95003
tula3424,27699,Graduate Hills at 3424 Tulane Dr,,38.98494,-76.95593
tula3410,37152,Graduate Hills at 3410 Tulane Dr,,38.98474,-76.95728
tula3403,27023,Graduate Hills at 3404 Tulane Dr,,38.98468,-76.95824
camplot19,36120,Campus Dr at UMUC Lot 19,,38.98529,-76.95448
univbapt,34894,University Methodist Church,,38.98486,-76.95243
hillmunc,27075,Van Munching Hall (Inbound),,38.98302,-76.94821
lds,27533,LDS Institute of Religion,,38.98223,-76.94719
cathsc,36183,Catholic Student Center,,38.98132,-76.94523
sccomm1_2,27505,South Campus Commons 1 & 2,,38.98233,-76.94346
4315rwlt,37118,Graduate Gardens at 4315 Rowalt Dr,,38.97884,-76.94145
4327rwlt,34958,Graduate Gardens at 4327 Rowalt Dr,,38.9782,-76.94003
